,id,IATA,en-GB,latitude,longitude,vibes
1962,95674234,DRW,Darwin,-12.416667,130.872222,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""1"",""outdoor_adventures"":""0""}"
1974,160928619,DSS,Blaise Diagne International,14.670833,-17.072777,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""1""}"
1988,95673555,DTW,Detroit Wayne County,42.218611,-83.348611,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
1990,95673529,DUB,Dublin,53.4325,-6.252222,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""0"",""outdoor_adventures"":""0""}"
1992,128668336,DUD,Dunedin,-45.925,170.2,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2000,95673389,DUR,Durban King Shaka International,-29.611081,31.114062,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""1"",""outdoor_adventures"":""1""}"
2006,95674101,DVO,Davao International,7.131667,125.649444,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2009,129052768,DVT,Phoenix-Deer Valley,33.688333,-112.0825,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2012,128668423,DWC,Dubai Al Maktoum International,24.886111,55.172222,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2015,129053142,DWH,Houston David Wayne Hooks,30.061945,-95.55278,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2018,95673506,DXB,Dubai,25.2531454,55.3657479,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2028,95673716,DYU,Dushanbe,38.55,68.823611,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""1""}"
2040,128667281,EAM,Nejran,17.611667,44.429722,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2043,95565099,EAS,San Sebastian,43.357778,-1.79,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""1"",""beach"":""1"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2047,128667837,EBB,Entebbe,0.0425,32.438056,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2052,128668093,EBL,Erbil,36.2375,43.963056,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2066,95674331,ECP,Northwest Florida Beaches International,30.357803,-85.79892,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2074,95673668,EDI,Edinburgh,55.9497,-3.3635,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2088,129057837,EFD,Houston Ellington Field,29.6,-95.15,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2115,95790302,EIN,Eindhoven,51.45045,5.3783917,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2159,129056735,EMB,San Francisco Embarkadero,37.625278,-122.375,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2181,129053226,ENI,El Nido,11.205556,119.412778,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""0"",""great_food"":""1"",""outdoor_adventures"":""1""}"
2194,95673418,EOH,Medellin Enrique Olaya Herrera,6.216667,-75.583333,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2200,129057831,EPA,El Palomar,-34.610111,-58.616266,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2225,128668439,ERS,Windhoek Eros,-22.616667,17.083333,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2239,129057829,ESK,Eskisehir,39.78414,30.58211,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2248,128668570,ESU,Essaouira,31.3975,-9.681667,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""1"",""outdoor_adventures"":""1""}"
2254,200246776,ETM,Ramon International,29.723284,35.006307,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""1""}"
2275,95673518,EVN,Zvartnots International,40.15,44.4,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2286,95565059,EWR,New York Newark,40.695833,-74.171667,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2297,104120291,EYW,Key West International,24.556111,-81.759722,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2298,95673318,EZE,Buenos Aires Ministro Pistarini,-34.82,-58.533889,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2314,95673306,FAO,Faro,37.0176127,-7.9697522,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2332,129053691,FBU,Oslo Fornebu Sea Plane Base,59.899786,10.631332,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2339,95565065,FCO,Rome Fiumicino,41.7998468,12.2462277,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2363,128668578,FEZ,Fes-Saïss,33.933333,-4.966667,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2371,128668088,FGI,Apia Fagali I,-13.833333,-171.733333,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""1"",""outdoor_adventures"":""1""}"
2381,104120422,FIH,Kinshasa N'Djili,-4.383333,15.433334,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2387,129051942,FJR,Al-Fujairah,25.109444,56.330556,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""0"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2406,104120241,FLL,Fort Lauderdale International,26.074167,-80.151667,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2408,95673806,FLN,Florianopolis,-27.669722,-48.550556,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2411,95673830,FLR,Florence,43.8084908,11.2011818,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2427,95673676,FMO,Munster Osnabruck,52.133333,7.683333,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2430,129055500,FMY,Fort Myers Page Field,26.583333,-81.866667,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2431,99539628,FNA,Freetown Lungi International,8.6175,-13.196944,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2451,128668148,FON,Fortuna,10.4,-84.483333,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""1""}"
2454,95673403,FOR,Fortaleza,-3.776667,-38.534444,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2460,104120398,FPO,Freeport,26.555278,-78.7,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""0"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2481,128667274,FRS,Flores,16.916667,-89.883333,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""1""}"
2483,95673569,FRU,Bishkek,43.061389,74.4775,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""0"",""outdoor_adventures"":""1""}"
2500,104120327,FTE,El Calafate,-50.280278,-72.053333,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""1""}"
2507,129054997,FTY,Atlanta Fulton County,33.783333,-84.516667,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2510,95673312,FUE,Fuerteventura,28.452717,-13.863761,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2512,128668587,FUJ,Fukue,32.666667,128.833333,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2513,128667957,FUK,Fukuoka,33.582222,130.453333,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2516,128668002,FUN,Funafuti,-8.516667,179.208333,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""1""}"
2523,129054601,FWH,Dallas Carswell AFB,32.763889,-97.3,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2526,129057181,FXE,Fort Lauderdale Executive,26.19758,-80.17032,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2565,128668591,GBE,Gaborone,-24.55522,25.91821,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2575,129055233,GBO,Baltimore Greenbelt T,39.266667,-76.75,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2587,129056384,GCJ,Johannesburg Grand Central,-25.98941,28.14079,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2603,95673440,GDL,Guadalajara,20.523889,-103.3125,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2605,95673773,GDN,Gdansk,54.376558,18.470078,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2621,95674038,GEG,Spokane International,47.616944,-117.537222,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2626,99539648,GEO,Georgetown,6.5,-58.25,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2658,128668325,GGT,George Town,23.468056,-75.7825,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2677,95673347,GIG,Rio De Janeiro Internacional,-22.808889,-43.243611,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2682,128668140,GIS,Gisborne,-38.659722,177.972222,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2701,104120237,GLA,Glasgow Intl,55.866667,-4.433333,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2732,128668604,GMP,Gimpo International,37.551111,126.785278,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2743,128667998,GND,Maurice Bishop International,12.004167,-61.786111,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2755,128667333,GNY,Sanliurfa Guney Anadoulu Projesi,37.44556,38.90216,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2764,95790306,GOI,Goa Dabolim,15.383333,73.833333,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2775,95673736,GOT,Gothenburg Landvetter,57.666667,12.283333,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2778,213260973,GOX,Goa North Manohar International,15.73255243,73.86831356,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2788,95674050,GPT,Gulfport,30.406111,-89.070278,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2800,128668609,GRJ,George,-34.005556,22.378889,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2805,95566285,GRO,Girona,41.909167,2.763333,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2811,95673332,GRU,Sao Paulo Guarulhos,-23.433333,-46.483333,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2814,95565084,GRX,Granada,37.187454,-3.7778719,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2820,95673735,GSE,Gothenburg Save,57.768333,11.867778,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2851,95673534,GUA,Guatemala City,14.581944,-90.5275,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2888,128668612,GWD,Gwadar,25.230556,62.338889,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2904,95673513,GYD,Baku Heydar Aliyev International,40.4655635,50.0521822,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2905,95673424,GYE,Guayaquil,-2.154444,-79.875556,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2919,128667267,GZO,Gizo,-8.116667,156.833333,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""1""}"
2921,128668321,GZT,Gaziantep,36.947183,37.478683,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2935,95673433,HAM,Hamburg International,53.6336347,9.9973162,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2936,128668079,HAN,Hanoi,21.2191764,105.8030369,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2941,128667299,HAS,Hail,27.43792,41.68629,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2944,99539626,HAV,Havana,22.989444,-82.4075,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""1""}"
2949,95674390,HBA,Hobart,-42.833333,147.483333,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2953,128667422,HBE,Alexandria Borg El Arab,30.9,29.683333,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2971,129055409,HCS,Johannesburg Randburg Heliport,-26.140278,28.242778,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""0"",""outdoor_adventures"":""0""}"
2988,128668620,HEA,Herat,34.206944,62.226667,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2995,95673700,HEL,Helsinki Vantaa,60.321031,24.9529784,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2996,129053094,HEN,Hendon,60.147714,24.924057,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
2998,95674142,HER,Crete Heraklion,35.340278,25.183333,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
3002,129054097,HEX,Santo Domingo Herrera,18.475,-69.975,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
3005,129052156,HFA,Haifa,32.811111,35.041667,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
3014,128667508,HGH,Hangzhou,30.229444,120.434444,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""0"",""outdoor_adventures"":""1""}"
3020,129053093,HGS,Freetown Hastings,8.393056,-13.13,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
3028,129054577,HHP,Hong Kong H K Heliport,22.318056,114.2,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""1"",""outdoor_adventures"":""0""}"
3029,95674312,HHQ,Hua Hin (Prachuap Khiri Khan),12.630556,99.954444,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""1""}"
3030,129057791,HHR,Hawthorne,33.926944,-118.336389,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
3041,128667821,HIJ,Hiroshima International,34.432778,132.924722,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""0"",""outdoor_adventures"":""0""}"
3047,99539673,HIR,Honiara,-9.425278,160.045556,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""1""}"
3057,128668132,HKG,Hong Kong Intl,22.3081165,113.9184593,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""1"",""outdoor_adventures"":""0""}"
3062,104120378,HKT,Phuket,8.1111907,98.306529,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
3065,95673416,HLA,Lanseria,-25.938611,27.909444,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""0"",""outdoor_adventures"":""0""}"
3085,128668318,HLZ,Hamilton,-37.861111,175.333333,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
3101,128667143,HND,Tokyo Haneda,35.553611,139.765833,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
3106,95673827,HNL,Honolulu International,21.325833,-157.921667,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
3132,95673411,HOU,Houston Hobby,29.645,-95.278611,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
3154,128668316,HRE,Harare,-17.922778,31.101389,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
3174,129054447,HSH,Las Vegas Henderson Sky Harbor,35.968333,-115.119167,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
3202,128667506,HTY,Antakya,36.369604,36.282349,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""1"",""outdoor_adventures"":""0""}"
3212,128668640,HUI,Hue,16.399167,107.703333,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
3217,128667942,HUN,Hualien,24.022222,121.6125,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""1""}"
3230,128668642,HVD,Khovd,47.962304,91.624809,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""1""}"
3265,95673665,IAD,Washington Dulles,38.95,-77.45,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
3267,95673412,IAH,Houston George Bush Intercntl.,29.983333,-95.34,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
3271,128668645,IAO,Sayak,9.855132,126.015372,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
